concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,valor_premio,local
312,10/11/2001,14,23,30,41,47,50,0,0.0,"Caminhão da Sorte em Poços de Caldas, MG"
313,14/11/2001,14,16,24,37,38,53,0,0.0,"Caminhão da Sorte em Sobral, CE"
314,17/11/2001,5,32,34,37,40,58,0,0.0,"Caminhão da Sorte em Sobral, CE"
315,21/11/2001,12,21,22,28,43,50,1,13675105.67,"Caminhão da Sorte em Dois Vizinhos, PR"
316,24/11/2001,6,24,28,43,51,56,0,0.0,"Caminhão da Sorte em Dois Vizinhos, PR"
317,28/11/2001,16,20,27,30,35,48,0,0.0,"Caminhão da Sorte em Telêmaco Borba, PR"
318,01/12/2001,3,19,20,31,40,53,1,2227008.03,"Caminhão da Sorte em ivaiporã, PR"
319,05/12/2001,12,16,17,19,23,48,0,0.0,"Caminhão da Sorte em Sertãozinho, SP"
320,08/12/2001,20,22,27,47,50,53,0,0.0,"Caminhão da Sorte em Sertãozinho, SP"
321,12/12/2001,4,11,31,32,48,49,0,0.0,"Caminhão da Sorte em Ipatinga, MG"
322,15/12/2001,11,18,29,44,47,56,0,0.0,"Caminhão da Sorte em Governador Valadares, MG"
323,19/12/2001,26,31,33,40,49,54,0,0.0,"Caminhão da Sorte em Indaiatuba, SP"
324,22/12/2001,8,15,22,25,30,47,0,0.0,"Caminhão da Sorte em Indaiatuba, SP"
325,29/12/2001,1,3,4,21,23,53,2,8743877.8,"Caminhão da Sorte em Sorocaba, SP"
326,05/01/2002,21,23,40,44,51,52,0,0.0,"Caminhão da Sorte em Guaratuba, PR"
327,09/01/2002,29,32,33,38,46,48,0,0.0,"Caminhão da Sorte em Caldas Novas, GO"
328,12/01/2002,5,7,14,21,23,51,1,2721357.01,"Caminhão da Sorte em Caldas Novas, GO"
329,16/01/2002,10,11,12,24,35,40,0,0.0,"Caminhão da Sorte em São Sebastião, SP"
330,19/01/2002,2,4,14,23,37,51,0,0.0,"Caminhão da Sorte em São Sebastião, SP"
331,23/01/2002,1,13,20,27,35,37,0,0.0,"Caminhão da Sorte em Três Lagoas, MS"
332,26/01/2002,23,28,29,34,42,44,0,0.0,"Caminhão da Sorte em Três Lagoas, MS"
333,30/01/2002,4,27,35,44,52,53,0,0.0,"Caminhão da Sorte em Dourados, MS"
334,02/02/2002,14,23,24,26,41,51,2,8729392.91,"Caminhão da Sorte em Dourados, MS"
335,06/02/2002,7,23,33,43,57,59,0,0.0,"Caminhão da Sorte em Corumbá, MS"
336,09/02/2002,2,18,22,26,30,54,0,0.0,"Caminhão da Sorte em Corumbá, MS"
337,16/02/2002,4,14,16,31,52,54,0,0.0,"Caminhão da Sorte em Vargem Grande do Sul, SP"
338,20/02/2002,1,4,9,36,46,48,0,0.0,"Caminhão da Sorte em Itu, SP"
339,23/02/2002,5,12,13,16,27,50,0,0.0,"Caminhão da Sorte em Itu, SP"
340,27/02/2002,9,10,12,33,42,60,0,0.0,"Caminhão da Sorte em São Lourenço do Sul, RS"
341,02/03/2002,5,16,22,23,43,56,0,0.0,"Caminhão da Sorte em São Lourenço do Sul, RS"
342,06/03/2002,16,29,34,49,51,54,0,0.0,"Caminhão da Sorte em São João Del Rey, MG"
343,09/03/2002,4,6,7,12,24,41,2,9937283.03,"Caminhão da Sorte em S. João Del Rey, MG"
344,13/03/2002,10,12,14,33,35,36,0,0.0,"Caminhão da Sorte em Barbacena, MG"
345,16/03/2002,11,22,46,51,56,58,1,1447870.53,"Caminhão da Sorte em Barbacena, MG"
346,20/03/2002,7,12,41,46,56,60,0,0.0,"Caminhão da Sorte em Passos, MG"
347,23/03/2002,1,10,12,26,48,52,0,0.0,"Caminhão da Sorte em Passos, MG"
348,27/03/2002,19,30,33,39,40,52,0,0.0,"Caminhão da Sorte em Bandeirantes, PR"
349,30/03/2002,8,9,28,32,38,54,0,0.0,"Caminhão da Sorte em Santo Antônio da Platina, PR"
350,03/04/2002,10,15,23,30,43,57,0,0.0,"Caminhão da Sorte em Marília, SP"
351,06/04/2002,15,16,24,41,59,60,0,0.0,"Caminhão da Sorte em Santa Rosa, RS"
352,10/04/2002,7,20,25,44,47,49,0,0.0,"Caminhão da Sorte em Santa Rosa, RS"
353,13/04/2002,19,23,30,46,55,60,0,0.0,"Caminhão da Sorte em Osasco, SP"
