concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,premio_6_acertos,acumulado,local
2356,27/03/2021,03,10,25,36,51,58,1,27070907.55,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2357,31/03/2021,19,28,30,34,40,51,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2358,03/04/2021,05,09,11,16,43,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2359,06/04/2021,31,32,39,42,43,51,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2360,08/04/2021,10,15,21,24,29,45,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2361,10/04/2021,14,21,22,29,35,46,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2362,14/04/2021,03,20,22,32,35,50,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2363,17/04/2021,06,14,24,34,39,58,1,40076100.78,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2364,22/04/2021,20,33,42,44,51,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2365,24/04/2021,01,17,28,37,44,50,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2366,28/04/2021,04,27,33,35,38,41,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2367,30/04/2021,05,23,29,34,53,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2368,04/05/2021,04,07,13,25,36,58,1,37429107.24,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2369,06/05/2021,04,09,17,19,37,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2370,08/05/2021,07,31,37,42,44,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2371,12/05/2021,04,15,30,36,39,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2372,15/05/2021,03,19,25,44,46,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2373,19/05/2021,23,24,26,44,49,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2374,22/05/2021,12,13,25,37,39,41,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2375,26/05/2021,02,06,44,46,53,58,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2376,29/05/2021,12,14,17,18,19,22,2,47341439.63,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2377,02/06/2021,05,18,29,35,43,44,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2378,05/06/2021,11,37,38,41,49,54,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2379,09/06/2021,02,08,26,32,46,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2380,12/06/2021,11,16,20,24,39,53,1,43258691.06,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2381,16/06/2021,07,23,32,41,42,47,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2382,19/06/2021,06,09,19,38,53,55,1,7098061.76,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2383,23/06/2021,13,15,16,20,40,41,1,2783717.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2384,26/06/2021,09,13,22,25,26,31,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2385,29/06/2021,12,24,32,37,43,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2386,01/07/2021,11,13,16,35,49,50,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2387,03/07/2021,08,26,30,31,38,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2388,07/07/2021,08,30,33,37,45,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2389,10/07/2021,16,30,37,39,40,51,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2390,14/07/2021,09,13,20,22,32,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2391,17/07/2021,05,08,13,27,36,50,1,76237205.1,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2392,21/07/2021,11,15,23,25,34,53,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
